,Unnamed: 0,rest_cnt,review_cnt,review_link,businessID,addr
0,0,1,8,https://www.yelp.com//biz/bombay-chaat-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,2UsE_jjwbG0EM0jnoVu9Uw,"801 N Fair Oaks Ave, Sunnyvale, CA 94085"
1,1,2,119,https://www.yelp.com//biz/arusuvai-santa-clara?osq=Indian+Vegetarian+Restaurant,LnnG-H0a3wMEQ2KetzGB6g,"2636 Homestead Rd, Santa Clara, CA 95051"
2,2,3,61,https://www.yelp.com//biz/mangoes-indian-cuisine-santa-clara-2?osq=Indian+Vegetarian+Restaurant,gviHU6-Sa2qSjzmyj04-NQ,"2725 El Camino Real, Santa Clara, CA 95051"
3,3,4,398,https://www.yelp.com//biz/deedees-santa-clara?osq=Indian+Vegetarian+Restaurant,cC8WVp58excxpmc4LcekIw,"341 Lafayette St, Santa Clara, CA 95050"
4,4,5,78,https://www.yelp.com//biz/kabila-sweets-and-restaurant-santa-clara-2?osq=Indian+Vegetarian+Restaurant,1JfgNHoXNOzNtVEJJnCxWw,"3064 El Camino Real, Santa Clara, CA 95051"
5,5,6,617,https://www.yelp.com//biz/sankranti-sunnyvale?osq=Indian+Vegetarian+Restaurant,cK5RYxizSBerq1_3KNCvTQ,"727 S Wolfe Rd, Sunnyvale, CA 94086"
6,6,7,307,https://www.yelp.com//biz/great-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant,BYFGYvLARt3N0cyw-F3Nyg,"2026 Agnew Rd, Santa Clara, CA 95054"
7,7,8,222,https://www.yelp.com//biz/biryani-bowl-santa-clara-santa-clara-4?osq=Indian+Vegetarian+Restaurant,aKbPwlvqb5mskk7RxLcQsg,"1855 El Camino Real, Santa Clara, CA 95050"
8,8,9,204,https://www.yelp.com//biz/ganesha-indian-cuisine-sweets-and-catering-santa-clara-2?osq=Indian+Vegetarian+Restaurant,byofFGbt9vX4WHOFGHQ2mw,"1074 Kiely Blvd, Santa Clara, CA 95051"
9,9,10,161,https://www.yelp.com//biz/kettlee-santa-clara?osq=Indian+Vegetarian+Restaurant,VsC56CP--UQOQQtyWPP1rw,"1610 El Camino Real, Santa Clara, CA 95050"
10,10,11,1092,https://www.yelp.com//biz/merit-vegan-cuisine-sunnyvale?osq=Indian+Vegetarian+Restaurant,E7kHPV2jKP9KVkGi6XnYJQ,"548 Lawrence Expy, Sunnyvale, CA 94085"
11,11,12,193,https://www.yelp.com//biz/the-yellow-chilli-by-sanjeev-kapoor-santa-clara-2?osq=Indian+Vegetarian+Restaurant,ADuOd1FlfkjPxKjdO-f6Nw,"3555 Monroe St, Santa Clara, CA 95051"
12,12,13,395,https://www.yelp.com//biz/mayuri-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant,BypEJ2j8BaOiGJ6XCWjLZA,"2232 El Camino Real, Santa Clara, CA 95050"
13,13,14,162,https://www.yelp.com//biz/igrill-santa-clara?osq=Indian+Vegetarian+Restaurant,f_7j8igzi-KVLOVepiOeMw,"3170 De La Cruz Blvd, Santa Clara, CA 95054"
14,14,15,1330,https://www.yelp.com//biz/ulavacharu-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,X7GqGhp7GaSrWseBbBrG2A,"685 E El Camino Real, Sunnyvale, CA 94087"
15,15,16,231,https://www.yelp.com//biz/amaravathi-indian-pure-vegetarian-restaurant-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,CgdIKTQhsobiKNFDQ8-KyQ,"673 Grape Ave, Sunnyvale, CA 94087"
16,16,17,57,https://www.yelp.com//biz/abhiruchi-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,Agj2VmR-jyGnL_SlzUbv-w,"893 E El Camino Real, Sunnyvale, CA 94087"
17,17,18,1358,https://www.yelp.com//biz/kabab-and-currys-santa-clara?osq=Indian+Vegetarian+Restaurant,TiRJUIDQyjIatt-msTSkQw,"1498 Isabella St, Santa Clara, CA 95050"
18,18,19,744,https://www.yelp.com//biz/indian-street-cafe-sunnyvale?osq=Indian+Vegetarian+Restaurant,153v5RZoJIJQpSfSVMFPDA,"927 E Arques Ave, Sunnyvale, CA 94085"
19,19,20,527,https://www.yelp.com//biz/mezbaan-santa-clara-3?osq=Indian+Vegetarian+Restaurant,QnTFIXa0_v-QrEwOCwK3eg,"3939 Rivermark Plz, Santa Clara, CA 95054"
20,20,21,50,https://www.yelp.com//biz/golkonda-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant,3hOG1TQKCuSpynqXJyrMvQ,"5350 Great America Pkwy, Santa Clara, CA 95054"
21,21,22,173,https://www.yelp.com//biz/ugadi-sunnyvale?osq=Indian+Vegetarian+Restaurant,CaA3H63urW_sOoupkiEvvg,"950 W El Camino Real, Sunnyvale, CA 94087"
22,22,23,35,https://www.yelp.com//biz/dawat-biryani-palace-san-jose?osq=Indian+Vegetarian+Restaurant,VWwG1S22huw2LWLYC_GSWw,"2092 Concourse Dr, San Jose, CA 95131"
23,23,24,1383,https://www.yelp.com//biz/madras-cafe-sunnyvale?osq=Indian+Vegetarian+Restaurant,pBmVS5S3kDG8pNehjb5xxQ,"1177 W El Camino Real, Sunnyvale, CA 94087"
24,24,25,830,https://www.yelp.com//biz/chaats-and-currys-sunnyvale-6?osq=Indian+Vegetarian+Restaurant,fV2jmhZ0my_HJuA1MFIW6Q,"520 Lawrence Expy, Sunnyvale, CA 94085"
25,25,26,496,https://www.yelp.com//biz/swaad-indian-cuisine-san-jose?osq=Indian+Vegetarian+Restaurant,ix6wIYOKgQNLr8Nf4SDc6w,"498 N 13th St, San Jose, CA 95112"
26,26,27,148,https://www.yelp.com//biz/bhavikas-indian-vegetarian-food-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,YVdJ_wMGMciXqKbzDM6e8g,"1053 E El Camino Real, Sunnyvale, CA 94087"
